OID_,POINTID,GRID_CODE
2836,2836,100
2710,2710,100
2837,2837,100
2711,2711,99
2587,2587,84
2465,2465,83
2341,2341,83
2588,2588,83
2466,2466,82
2342,2342,82
2222,2222,82
2589,2589,82
3643,3643,81
3240,3240,80
3374,3374,80
3234,3234,78
3362,3362,78
3368,3368,78
3502,3502,77
3375,3375,77
3369,3369,76
3636,3636,76
3642,3642,76
3503,3503,76
3509,3509,76
3373,3373,76
3235,3235,76
3241,3241,76
3507,3507,76
3637,3637,76
3641,3641,76
3510,3510,75
3644,3644,75
3508,3508,75
3506,3506,75
3504,3504,75
3640,3640,75
3101,3101,75
3239,3239,75
3370,3370,75
3638,3638,75
3361,3361,75
3366,3366,75
3498,3498,75
3505,3505,74
3371,3371,74
3771,3771,74
3376,3376,74
3228,3228,74
3236,3236,74
3639,3639,74
3372,3372,74
3105,3105,74
3775,3775,74
3242,3242,74
3772,3772,74
3773,3773,74
3237,3237,73
2833,2833,73
2834,2834,73
2464,2464,73
3906,3906,73
3103,3103,73
2709,2709,73
3102,3102,73
3905,3905,73
2972,2972,73
2967,2967,73
2970,2970,73
2971,2971,73
3377,3377,73
3907,3907,73
3774,3774,73
2969,2969,73
6870,6870,73
3499,3499,73
7044,7044,73
3104,3104,73
6954,6954,73
6955,6955,73
7043,7043,73
7045,7045,73
7046,7046,73
3243,3243,73
3909,3909,73
4039,4039,73
4040,4040,73
6793,6793,73
4041,4041,73
6956,6956,73
4172,4172,73
6874,6874,73
7042,7042,73
4042,4042,73
4043,4043,73
4173,4173,73
2467,2467,73
6871,6871,72
6958,6958,72
2838,2838,72
4174,4174,72
6957,6957,72
4175,4175,72
3645,3645,72
4176,4176,72
2835,2835,72
2343,2343,72
2590,2590,72
3511,3511,72
6795,6795,72
4570,4570,72
6873,6873,72
4439,4439,72
4306,4306,72
6794,6794,72
4309,4309,72
6872,6872,72
4307,4307,72
2097,2097,72
4308,4308,72
4440,4440,72
4571,4571,72
3227,3227,72
3908,3908,72
2963,2963,72
2712,2712,72
3500,3500,72
1886,1886,72
4441,4441,72
2098,2098,72
1985,1985,72
1986,1986,72
4442,4442,72
2099,2099,72
2223,2223,72
1887,1887,72
3238,3238,72
1788,1788,71
2968,2968,71
3634,3634,69
3633,3633,69
2964,2964,69
3769,3769,68
3097,3097,68
5301,5301,67
5300,5300,67
5174,5174,67
5424,5424,67
5425,5425,67
5423,5423,67
5544,5544,67
5299,5299,67
5545,5545,67
5422,5422,67
5543,5543,67
5662,5662,67
5663,5663,67
5298,5298,67
5047,5047,67
5173,5173,67
5172,5172,67
4121,4121,67
4122,4122,67
4255,4255,67
4123,4123,67
4256,4256,67
4124,4124,67
4125,4125,67
4257,4257,67
4389,4389,67
4126,4126,67
4390,4390,67
4521,4521,67
5046,5046,67
4127,4127,67
4258,4258,67
3363,3363,66
4259,4259,66
4391,4391,66
4522,4522,66
4653,4653,66
4785,4785,66
4128,4128,66
4260,4260,66
4392,4392,66
4654,4654,66
4523,4523,66
4786,4786,66
3229,3229,66
4261,4261,66
4393,4393,66
4655,4655,66
4394,4394,66
5045,5045,66
4524,4524,66
4525,4525,66
4918,4918,66
3098,3098,66
3777,3777,65
3094,3094,64
2962,2962,64
3096,3096,64
2829,2829,63
3093,3093,63
3095,3095,63
3776,3776,63
3360,3360,63
2843,2843,63
3226,3226,62
3496,3496,62
3106,3106,62
3230,3230,62
