OID_,Join_Count,TARGET_FID,JOIN_FID,SOURCE_ID,grid_code,ZONE_ID,SOURCE_ID_1,grid_code_1,ZONE_ID_1
3312,1,82,176,82,19.8825092,7,176,20.4713497,8
3316,1,82,209,82,19.8825092,7,209,20.5302334,8
3317,1,82,210,82,19.8825092,7,210,20.2946987,8
3342,1,83,176,83,19.5292072,7,176,20.4713497,8
3347,1,83,209,83,19.5292072,7,209,20.5302334,8
3348,1,83,210,83,19.5292072,7,210,20.2946987,8
3378,1,84,176,84,19.4997673,7,176,20.4713497,8
3384,1,84,210,84,19.4997673,7,210,20.2946987,8
3418,1,85,176,85,19.4703236,7,176,20.4713497,8
4775,1,112,176,112,20.4713497,7,176,20.4713497,8
4779,1,112,209,112,20.4713497,7,209,20.5302334,8
4780,1,112,210,112,20.4713497,7,210,20.2946987,8
4783,1,112,243,112,20.4713497,7,243,20.5891171,8
4784,1,112,244,112,20.4713497,7,244,20.4419060,8
4809,1,113,176,113,20.1474876,7,176,20.4713497,8
4814,1,113,209,113,20.1474876,7,209,20.5302334,8
4815,1,113,210,113,20.1474876,7,210,20.2946987,8
4819,1,113,243,113,20.1474876,7,243,20.5891171,8
4820,1,113,244,113,20.1474876,7,244,20.4419060,8
4851,1,114,176,114,20.0886040,7,176,20.4713497,8
4857,1,114,209,114,20.0886040,7,209,20.5302334,8
4858,1,114,210,114,20.0886040,7,210,20.2946987,8
4863,1,114,244,114,20.0886040,7,244,20.4419060,8
4898,1,115,176,115,19.9413929,7,176,20.4713497,8
4905,1,115,209,115,19.9413929,7,209,20.5302334,8
4906,1,115,210,115,19.9413929,7,210,20.2946987,8
4957,1,116,210,116,19.8530693,7,210,20.2946987,8
6338,1,142,278,142,9.3299789,7,278,10.3604460,6
6373,1,143,278,143,9.5066309,7,278,10.3604460,6
6390,1,144,176,144,20.4419060,7,176,20.4713497,8
6395,1,144,209,144,20.4419060,7,209,20.5302334,8
6396,1,144,210,144,20.4419060,7,210,20.2946987,8
6399,1,144,243,144,20.4419060,7,243,20.5891171,8
6400,1,144,244,144,20.4419060,7,244,20.4419060,8
6403,1,144,279,144,20.4419060,7,279,20.6774406,8
6404,1,144,280,144,20.4419060,7,280,20.5596752,8
6426,1,145,176,145,20.0886040,7,176,20.4713497,8
6432,1,145,209,145,20.0886040,7,209,20.5302334,8
6433,1,145,210,145,20.0886040,7,210,20.2946987,8
6437,1,145,243,145,20.0886040,7,243,20.5891171,8
6438,1,145,244,145,20.0886040,7,244,20.4419060,8
6442,1,145,279,145,20.0886040,7,279,20.6774406,8
6443,1,145,280,145,20.0886040,7,280,20.5596752,8
6444,1,145,281,145,20.0886040,7,281,20.2652550,8
6471,1,146,176,146,20.0002785,7,176,20.4713497,8
6478,1,146,209,146,20.0002785,7,209,20.5302334,8
6479,1,146,210,146,20.0002785,7,210,20.2946987,8
6484,1,146,243,146,20.0002785,7,243,20.5891171,8
6485,1,146,244,146,20.0002785,7,244,20.4419060,8
6490,1,146,280,146,20.0002785,7,280,20.5596752,8
6491,1,146,281,146,20.0002785,7,281,20.2652550,8
6523,1,147,176,147,19.8530693,7,176,20.4713497,8
6531,1,147,209,147,19.8530693,7,209,20.5302334,8
6532,1,147,210,147,19.8530693,7,210,20.2946987,8
6538,1,147,243,147,19.8530693,7,243,20.5891171,8
6539,1,147,244,147,19.8530693,7,244,20.4419060,8
6545,1,147,281,147,19.8530693,7,281,20.2652550,8
6580,1,148,176,148,19.7647419,7,176,20.4713497,8
6589,1,148,210,148,19.7647419,7,210,20.2946987,8
6596,1,148,244,148,19.7647419,7,244,20.4419060,8
7807,1,170,311,170,9.1533279,7,311,9.6832819,6
7867,1,171,311,171,9.1238861,7,311,9.6832819,6
7868,1,171,312,171,9.1238861,7,312,9.8893766,6
7923,1,172,278,172,9.3299789,7,278,10.3604460,6
7924,1,172,311,172,9.3299789,7,311,9.6832819,6
7925,1,172,312,172,9.3299789,7,312,9.8893766,6
7926,1,172,313,172,9.3299789,7,313,10.0660276,6
7974,1,173,278,173,9.5655146,7,278,10.3604460,6
7975,1,173,312,173,9.5655146,7,312,9.8893766,6
7976,1,173,313,173,9.5655146,7,313,10.0660276,6
7977,1,173,314,173,9.5655146,7,314,10.2132368,6
8018,1,174,278,174,9.7716074,7,278,10.3604460,6
8019,1,174,313,174,9.7716074,7,313,10.0660276,6
8020,1,174,314,174,9.7716074,7,314,10.2132368,6
8021,1,174,315,174,9.7716074,7,315,10.2721205,6
8054,1,175,278,175,9.9188185,7,278,10.3604460,6
8055,1,175,314,175,9.9188185,7,314,10.2132368,6
8056,1,175,315,175,9.9188185,7,315,10.2721205,6
8057,1,176,82,176,20.4713497,8,82,19.8825092,7
8058,1,176,83,176,20.4713497,8,83,19.5292072,7
8059,1,176,84,176,20.4713497,8,84,19.4997673,7
8060,1,176,85,176,20.4713497,8,85,19.4703236,7
8061,1,176,112,176,20.4713497,8,112,20.4713497,7
8062,1,176,113,176,20.4713497,8,113,20.1474876,7
8063,1,176,114,176,20.4713497,8,114,20.0886040,7
8064,1,176,115,176,20.4713497,8,115,19.9413929,7
8065,1,176,144,176,20.4713497,8,144,20.4419060,7
8066,1,176,145,176,20.4713497,8,145,20.0886040,7
8067,1,176,146,176,20.4713497,8,146,20.0002785,7
8068,1,176,147,176,20.4713497,8,147,19.8530693,7
8069,1,176,148,176,20.4713497,8,148,19.7647419,7
8071,1,176,177,176,20.4713497,8,177,20.1769276,7
8072,1,176,178,176,20.4713497,8,178,19.9413929,7
8073,1,176,179,176,20.4713497,8,179,19.7941837,7
8074,1,176,180,176,20.4713497,8,180,19.6469746,7
8077,1,176,211,176,20.4713497,8,211,20.0297203,7
8078,1,176,212,176,20.4713497,8,212,19.8236256,7
8079,1,176,213,176,20.4713497,8,213,19.5880909,7
8082,1,176,245,176,20.4713497,8,245,20.1769276,7
8083,1,176,246,176,20.4713497,8,246,19.8530693,7
8087,1,176,282,176,20.4713497,8,282,20.0591640,7
8107,1,177,176,177,20.1769276,7,176,20.4713497,8
8113,1,177,209,177,20.1769276,7,209,20.5302334,8
8114,1,177,210,177,20.1769276,7,210,20.2946987,8
8119,1,177,243,177,20.1769276,7,243,20.5891171,8
8120,1,177,244,177,20.1769276,7,244,20.4419060,8
8124,1,177,279,177,20.1769276,7,279,20.6774406,8
8125,1,177,280,177,20.1769276,7,280,20.5596752,8
8126,1,177,281,177,20.1769276,7,281,20.2652550,8
8129,1,177,316,177,20.1769276,7,316,20.6774406,8
8130,1,177,317,177,20.1769276,7,317,20.5596752,8
8131,1,177,318,177,20.1769276,7,318,20.4713497,8
8153,1,178,176,178,19.9413929,7,176,20.4713497,8
8160,1,178,209,178,19.9413929,7,209,20.5302334,8
8161,1,178,210,178,19.9413929,7,210,20.2946987,8
8167,1,178,243,178,19.9413929,7,243,20.5891171,8
8168,1,178,244,178,19.9413929,7,244,20.4419060,8
8173,1,178,279,178,19.9413929,7,279,20.6774406,8
8174,1,178,280,178,19.9413929,7,280,20.5596752,8
8175,1,178,281,178,19.9413929,7,281,20.2652550,8
8179,1,178,317,178,19.9413929,7,317,20.5596752,8
8180,1,178,318,178,19.9413929,7,318,20.4713497,8
8207,1,179,176,179,19.7941837,7,176,20.4713497,8
8215,1,179,209,179,19.7941837,7,209,20.5302334,8
8216,1,179,210,179,19.7941837,7,210,20.2946987,8
8223,1,179,243,179,19.7941837,7,243,20.5891171,8
8224,1,179,244,179,19.7941837,7,244,20.4419060,8
8230,1,179,279,179,19.7941837,7,279,20.6774406,8
8231,1,179,280,179,19.7941837,7,280,20.5596752,8
8232,1,179,281,179,19.7941837,7,281,20.2652550,8
8237,1,179,318,179,19.7941837,7,318,20.4713497,8
8266,1,180,176,180,19.6469746,7,176,20.4713497,8
8275,1,180,209,180,19.6469746,7,209,20.5302334,8
8276,1,180,210,180,19.6469746,7,210,20.2946987,8
8284,1,180,244,180,19.6469746,7,244,20.4419060,8
8291,1,180,280,180,19.6469746,7,280,20.5596752,8
8292,1,180,281,180,19.6469746,7,281,20.2652550,8
8335,1,181,210,181,19.5880909,7,210,20.2946987,8
8351,1,181,281,181,19.5880909,7,281,20.2652550,8
8627,1,187,345,187,10.8609591,7,345,13.4224052,6
8628,1,187,346,187,10.8609591,7,346,12.5980310,6
8668,1,188,345,188,10.7431927,7,345,13.4224052,6
8669,1,188,346,188,10.7431927,7,346,12.5980310,6
8670,1,188,347,188,10.7431927,7,347,11.6558914,6
8718,1,189,346,189,10.1543531,7,346,12.5980310,6
8719,1,189,347,189,10.1543531,7,347,11.6558914,6
8720,1,189,348,189,10.1543531,7,348,10.8609591,6
8775,1,190,347,190,9.5066309,7,347,11.6558914,6
8776,1,190,348,190,9.5066309,7,348,10.8609591,6
8777,1,190,349,190,9.5066309,7,349,10.0660276,6
8836,1,191,348,191,8.8883505,7,348,10.8609591,6
8837,1,191,349,191,8.8883505,7,349,10.0660276,6
8838,1,191,350,191,8.8883505,7,350,9.6538410,6
8897,1,192,349,192,8.3878374,7,349,10.0660276,6
8898,1,192,350,192,8.3878374,7,350,9.6538410,6
8899,1,192,351,192,8.3878374,7,351,9.4477472,6
8958,1,193,350,193,8.1523027,7,350,9.6538410,6
8959,1,193,351,193,8.1523027,7,351,9.4477472,6
8960,1,193,352,193,8.1523027,7,352,9.4183054,6
9019,1,194,351,194,8.1228609,7,351,9.4477472,6
9020,1,194,352,194,8.1228609,7,352,9.4183054,6
9021,1,194,353,194,8.1228609,7,353,9.5655146,6
9080,1,195,352,195,8.2700710,7,352,9.4183054,6
9081,1,195,353,195,8.2700710,7,353,9.5655146,6
9082,1,195,354,195,8.2700710,7,354,9.6243982,6
9141,1,196,353,196,8.5350475,7,353,9.5655146,6
9142,1,196,354,196,8.5350475,7,354,9.6243982,6
9143,1,196,355,196,8.5350475,7,355,9.7421656,6
9202,1,197,354,197,8.3289547,7,354,9.6243982,6
9203,1,197,355,197,8.3289547,7,355,9.7421656,6
9204,1,197,356,197,8.3289547,7,356,9.7421656,6
9263,1,198,355,198,8.5056057,7,355,9.7421656,6
9264,1,198,356,198,8.5056057,7,356,9.7421656,6
9265,1,198,357,198,8.5056057,7,357,8.9472351,6
9324,1,199,356,199,8.6528158,7,356,9.7421656,6
9325,1,199,357,199,8.6528158,7,357,8.9472351,6
9326,1,199,358,199,8.6528158,7,358,9.1238861,6
9385,1,200,357,200,8.8000250,7,357,8.9472351,6
9386,1,200,358,200,8.8000250,7,358,9.1238861,6
9387,1,200,359,200,8.8000250,7,359,9.2710953,6
9445,1,201,311,201,8.9472351,7,311,9.6832819,6
9446,1,201,358,201,8.9472351,7,358,9.1238861,6
9447,1,201,359,201,8.9472351,7,359,9.2710953,6
9448,1,201,360,201,8.9472351,7,360,9.4183054,6
9505,1,202,311,202,9.1238861,7,311,9.6832819,6
9506,1,202,312,202,9.1238861,7,312,9.8893766,6
9507,1,202,359,202,9.1238861,7,359,9.2710953,6
9508,1,202,360,202,9.1238861,7,360,9.4183054,6
9509,1,202,361,202,9.1238861,7,361,9.5655146,6
9565,1,203,311,203,9.3005371,7,311,9.6832819,6
9566,1,203,312,203,9.3005371,7,312,9.8893766,6
9567,1,203,313,203,9.3005371,7,313,10.0660276,6
9568,1,203,360,203,9.3005371,7,360,9.4183054,6
9569,1,203,361,203,9.3005371,7,361,9.5655146,6
9570,1,203,362,203,9.3005371,7,362,9.6832819,6
9625,1,204,311,204,9.3594217,7,311,9.6832819,6
9626,1,204,312,204,9.3594217,7,312,9.8893766,6
9627,1,204,313,204,9.3594217,7,313,10.0660276,6
9628,1,204,314,204,9.3594217,7,314,10.2132368,6
9629,1,204,361,204,9.3594217,7,361,9.5655146,6
9630,1,204,362,204,9.3594217,7,362,9.6832819,6
9631,1,204,363,204,9.3594217,7,363,9.8304930,6
9679,1,205,278,205,9.6243982,7,278,10.3604460,6
9682,1,205,311,205,9.6243982,7,311,9.6832819,6
9683,1,205,312,205,9.6243982,7,312,9.8893766,6
9684,1,205,313,205,9.6243982,7,313,10.0660276,6
9685,1,205,314,205,9.6243982,7,314,10.2132368,6
9686,1,205,315,205,9.6243982,7,315,10.2721205,6
9687,1,205,362,205,9.6243982,7,362,9.6832819,6
9688,1,205,363,205,9.6243982,7,363,9.8304930,6
9689,1,205,364,205,9.6243982,7,364,9.9777021,6
9731,1,206,278,206,9.8893766,7,278,10.3604460,6
9733,1,206,311,206,9.8893766,7,311,9.6832819,6
9734,1,206,312,206,9.8893766,7,312,9.8893766,6
9735,1,206,313,206,9.8893766,7,313,10.0660276,6
9736,1,206,314,206,9.8893766,7,314,10.2132368,6
9737,1,206,315,206,9.8893766,7,315,10.2721205,6
9738,1,206,363,206,9.8893766,7,363,9.8304930,6
9739,1,206,364,206,9.8893766,7,364,9.9777021,6
9740,1,206,365,206,9.8893766,7,365,10.0954695,6
9776,1,207,278,207,10.0954695,7,278,10.3604460,6
9777,1,207,311,207,10.0954695,7,311,9.6832819,6
9778,1,207,312,207,10.0954695,7,312,9.8893766,6
9779,1,207,313,207,10.0954695,7,313,10.0660276,6
9780,1,207,314,207,10.0954695,7,314,10.2132368,6
9781,1,207,315,207,10.0954695,7,315,10.2721205,6
9782,1,207,364,207,10.0954695,7,364,9.9777021,6
9783,1,207,365,207,10.0954695,7,365,10.0954695,6
9784,1,207,366,207,10.0954695,7,366,10.1837950,6
9813,1,208,278,208,10.1837950,7,278,10.3604460,6
9814,1,208,312,208,10.1837950,7,312,9.8893766,6
9815,1,208,313,208,10.1837950,7,313,10.0660276,6
9816,1,208,314,208,10.1837950,7,314,10.2132368,6
9817,1,208,315,208,10.1837950,7,315,10.2721205,6
9818,1,208,365,208,10.1837950,7,365,10.0954695,6
9819,1,208,366,208,10.1837950,7,366,10.1837950,6
9820,1,209,82,209,20.5302334,8,82,19.8825092,7
9821,1,209,83,209,20.5302334,8,83,19.5292072,7
9822,1,209,112,209,20.5302334,8,112,20.4713497,7
9823,1,209,113,209,20.5302334,8,113,20.1474876,7
9824,1,209,114,209,20.5302334,8,114,20.0886040,7
9825,1,209,115,209,20.5302334,8,115,19.9413929,7
