OID_,POINTID,GRID_CODE
3905,3905,100
4039,4039,99
2340,2340,98
2342,2342,98
4172,4172,98
3770,3770,98
3904,3904,98
4305,4305,98
4439,4439,98
2221,2221,97
4038,4038,97
2818,2818,97
2222,2222,96
4171,4171,96
2692,2692,95
2097,2097,95
1984,1984,95
4170,4170,95
4304,4304,95
4168,4168,95
4169,4169,95
4570,4570,95
3366,3366,94
3498,3498,94
3773,3773,94
4306,4306,94
2817,2817,94
2951,2951,94
3352,3352,94
2834,2834,93
2220,2220,93
2691,2691,92
2586,2586,92
2708,2708,92
2967,2967,92
3102,3102,92
3236,3236,92
4303,4303,92
3368,3368,92
3502,3502,92
3636,3636,92
2096,2096,92
3903,3903,92
4173,4173,92
4037,4037,92
2466,2466,92
3632,3632,92
3769,3769,92
1689,1689,92
2098,2098,92
2464,2464,91
3101,3101,91
3234,3234,91
2341,2341,91
4438,4438,91
1985,1985,91
2465,2465,91
2952,2952,91
1886,1886,91
4301,4301,91
4701,4701,91
2819,2819,90
1983,1983,90
4036,4036,90
3376,3376,90
4035,4035,90
4440,4440,90
3510,3510,90
1685,1685,89
1686,1686,89
1687,1687,89
1885,1885,89
2950,2950,89
2449,2449,89
2816,2816,89
3351,3351,89
2343,2343,89
3497,3497,89
1785,1785,89
1787,1787,89
2588,2588,89
2968,2968,89
3631,3631,89
3633,3633,89
4307,4307,89
2693,2693,88
3353,3353,88
2223,2223,88
1688,1688,88
2690,2690,87
3217,3217,87
4571,4571,87
2463,2463,87
2833,2833,87
2953,2953,87
3231,3231,87
3511,3511,87
4167,4167,87
3486,3486,87
3375,3375,87
2587,2587,87
1884,1884,86
2467,2467,86
3377,3377,86
2339,2339,86
2707,2707,86
3235,3235,86
3902,3902,86
4034,4034,86
2585,2585,86
2835,2835,86
3232,3232,86
3365,3365,86
3369,3369,86
3370,3370,86
3499,3499,86
3500,3500,86
3501,3501,86
3503,3503,86
3635,3635,86
3637,3637,86
3639,3639,86
3771,3771,86
3772,3772,86
3774,3774,86
3906,3906,86
3907,3907,86
4040,4040,86
1786,1786,86
4569,4569,86
4437,4437,86
2572,2572,86
3100,3100,85
3085,3085,85
4302,4302,85
2709,2709,85
1598,1598,85
1599,1599,85
1600,1600,85
2710,2710,85
4702,4702,85
2966,2966,85
3103,3103,85
3237,3237,85
3367,3367,85
1690,1690,85
3634,3634,85
3364,3364,84
2570,2570,84
3218,3218,84
3233,3233,84
1782,1782,84
1783,1783,84
1784,1784,84
3901,3901,84
3086,3086,84
3219,3219,84
3487,3487,84
2836,2836,84
2589,2589,84
3242,3242,84
3766,3766,84
3768,3768,84
2706,2706,83
2446,2446,83
3083,3083,83
1601,1601,83
3485,3485,83
2095,2095,83
2219,2219,83
2462,2462,83
2832,2832,83
2969,2969,83
3371,3371,83
3638,3638,83
3640,3640,83
4300,4300,83
2584,2584,82
3620,3620,82
2820,2820,82
3098,3098,82
3354,3354,82
3509,3509,82
2571,2571,82
2569,2569,82
3084,3084,82
3099,3099,81
3908,3908,81
4436,4436,81
2448,2448,81
3900,3900,81
3241,3241,81
3243,3243,81
3363,3363,81
3765,3765,81
3767,3767,81
2573,2573,81
4700,4700,81
2694,2694,80
2224,2224,80
3644,3644,80
1684,1684,80
3087,3087,80
2949,2949,80
1781,1781,80
3643,3643,80
2461,2461,80
2831,2831,80
2954,2954,80
3097,3097,80
1982,1982,79
2338,2338,79
4174,4174,79
2447,2447,79
2450,2450,79
2815,2815,79
2325,2325,79
1602,1602,79
3619,3619,79
2590,2590,79
3244,3244,79
2344,2344,79
3754,3754,79
4572,4572,79
2099,2099,79
4041,4041,78
3621,3621,78
1881,1881,78
1882,1882,78
1883,1883,78
2965,2965,78
3104,3104,78
3238,3238,78
3504,3504,78
3505,3505,78
3775,3775,78
3220,3220,78
3488,3488,78
4033,4033,78
4166,4166,78
4299,4299,77
3230,3230,77
2711,2711,77
3240,3240,77
2094,2094,77
2468,2468,76
3496,3496,76
2705,2705,76
3508,3508,76
3096,3096,76
2837,2837,76
2695,2695,76
3108,3108,76
4568,4568,76
2964,2964,76
3088,3088,76
3221,3221,76
3899,3899,76
2218,2218,76
3755,3755,76
2970,2970,75
3372,3372,75
3506,3506,75
3641,3641,75
1597,1597,75
2568,2568,75
3513,3513,75
4441,4441,75
4605,4605,75
1509,1509,75
1510,1510,75
1511,1511,75
3350,3350,75
3630,3630,75
4832,4832,75
2337,2337,75
4298,4298,74
3355,3355,74
3514,3514,74
1986,1986,74
3374,3374,74
3642,3642,74
3362,3362,73
2971,2971,73
3107,3107,73
3109,3109,73
3909,3909,73
4308,4308,73
3778,3778,73
1880,1880,73
3777,3777,73
3753,3753,73
2583,2583,73
4297,4297,73
3622,3622,73
2821,2821,73
4434,4434,73
4042,4042,73
1603,1603,73
1887,1887,73
1981,1981,73
4435,4435,73
3095,3095,72
3229,3229,72
2591,2591,72
4474,4474,72
2955,2955,72
3489,3489,72
2574,2574,71
2830,2830,71
2963,2963,71
4165,4165,71
2093,2093,71
3507,3507,71
3776,3776,71
2696,2696,71
3110,3110,71
3515,3515,71
2324,2324,71
3764,3764,71
2712,2712,71
1879,1879,71
1683,1683,71
3889,3889,71
2217,2217,71
2689,2689,70
3216,3216,70
1980,1980,70
3105,3105,70
3239,3239,70
3222,3222,70
2460,2460,70
4164,4164,70
3106,3106,70
4175,4175,70
1780,1780,69
5974,5974,69
3379,3379,69
4433,4433,69
4736,4736,69
4567,4567,69
3495,3495,69
3094,3094,69
2962,2962,68
4699,4699,68
3089,3089,68
3473,3473,68
3607,3607,68
3741,3741,68
3742,3742,68
3875,3875,68
3876,3876,68
3877,3877,68
4009,4009,68
4010,4010,68
4341,4341,68
2451,2451,68
1596,1596,67
3373,3373,67
4043,4043,67
3228,3228,67
3890,3890,67
3623,3623,67
2704,2704,67
3380,3380,67
2092,2092,67
3782,3782,66
4032,4032,66
2345,2345,66
4430,4430,66
3356,3356,66
1512,1512,66
3484,3484,66
3512,3512,66
3779,3779,66
4432,4432,66
2838,2838,66
4604,4604,66
4431,4431,66
2225,2225,66
2974,2974,66
2822,2822,66
2336,2336,66
1979,1979,65
4606,4606,65
6090,6090,65
3227,3227,65
4608,4608,65
3910,3910,65
6091,6091,65
3629,3629,65
3888,3888,65
4031,4031,65
3757,3757,65
2713,2713,65
3756,3756,65
4162,4162,65
2469,2469,65
4163,4163,65
3911,3911,64
3759,3759,64
3760,3760,64
3761,3761,64
3895,3895,64
1779,1779,64
3361,3361,64
3223,3223,64
3381,3381,64
3647,3647,64
4442,4442,64
3490,3490,64
4295,4295,64
3912,3912,64
2972,2972,64
5973,5973,64
2961,2961,64
2956,2956,64
1788,1788,64
3378,3378,64
4735,4735,64
3763,3763,64
3627,3627,64
3626,3626,64
2445,2445,63
4029,4029,63
4573,4573,63
2582,2582,63
4296,4296,63
2973,2973,63
1978,1978,63
4737,4737,63
2975,2975,63
5858,5858,63
3648,3648,63
3090,3090,63
3091,3091,63
3224,3224,63
3225,3225,63
3357,3357,63
3358,3358,63
3359,3359,63
3491,3491,63
3492,3492,63
3493,3493,63
3624,3624,63
3625,3625,63
3758,3758,63
3894,3894,63
1682,1682,63
2829,2829,63
6089,6089,63
4309,4309,63
3628,3628,63
4473,4473,63
4024,4024,62
3893,3893,62
2976,2976,62
2697,2697,62
4475,4475,62
3891,3891,62
2323,2323,62
2326,2326,62
3093,3093,62
4607,4607,62
3360,3360,62
3898,3898,62
5975,5975,62
2957,2957,61
2575,2575,61
3892,3892,61
4028,4028,61
2823,2823,61
2592,2592,61
3649,3649,61
2828,2828,61
2960,2960,61
5095,5095,61
3092,3092,61
3226,3226,61
2216,2216,61
6206,6206,61
2474,2474,61
1878,1878,61
2839,2839,60
4030,4030,60
1508,1508,60
4831,4831,60
4738,4738,60
6207,6207,60
3472,3472,60
3606,3606,60
3740,3740,60
3874,3874,60
4008,4008,60
4142,4142,60
4143,4143,60
4652,4652,60
5659,5659,60
4027,4027,60
6959,6959,60
2703,2703,60
2827,2827,60
2459,2459,60
5857,5857,60
4176,4176,60
2840,2840,60
4867,4867,60
2841,2841,59
3897,3897,59
2473,2473,59
1595,1595,59
4839,4839,59
4970,4970,59
5220,5220,59
4025,4025,59
4044,4044,59
3245,3245,59
5856,5856,59
7047,7047,59
4739,4739,59
3913,3913,59
2702,2702,58
4026,4026,58
3516,3516,58
4161,4161,58
2714,2714,58
2091,2091,58
5219,5219,58
5221,5221,58
3494,3494,58
3246,3246,58
6205,6205,58
2581,2581,58
2597,2597,58
5972,5972,57
4342,4342,57
2335,2335,57
2701,2701,57
2100,2100,57
4023,4023,57
5042,5042,57
4340,4340,57
3382,3382,57
4476,4476,57
4141,4141,56
4653,4653,56
4785,4785,56
5541,5541,56
5658,5658,56
6088,6088,56
4160,4160,56
4428,4428,56
4969,4969,56
3762,3762,56
3896,3896,56
5218,5218,56
5169,5169,56
2596,2596,56
6874,6874,56
4866,4866,56
5168,5168,56
5217,5217,56
4868,4868,55
5418,5418,55
2458,2458,55
2580,2580,55
4011,4011,55
5345,5345,55
4915,4915,55
5739,5739,55
2215,2215,55
1977,1977,55
5294,5294,55
3247,3247,55
5539,5539,55
6958,6958,55
6960,6960,55
3783,3783,54
4603,4603,54
3781,3781,54
5738,5738,54
4294,4294,54
5041,5041,54
3646,3646,54
4838,4838,54
5094,5094,54
2090,2090,54
4159,4159,54
4045,4045,53
4046,4046,53
2475,2475,53
2350,2350,53
5344,5344,53
5346,5346,53
5091,5091,53
4734,4734,53
1242,1242,53
1317,1317,53
1318,1318,53
1319,1319,53
1397,1397,53
1398,1398,53
1399,1399,53
1400,1400,53
1401,1401,53
1481,1481,53
1482,1482,53
1483,1483,53
1484,1484,53
1485,1485,53
6204,6204,53
4477,4477,53
5310,5310,53
2349,2349,53
5859,5859,53
1368,1368,53
5093,5093,53
4834,4834,53
6301,6301,53
6057,6057,53
2598,2598,53
2334,2334,52
2579,2579,52
2719,2719,52
4968,4968,52
5043,5043,52
4472,4472,52
4177,4177,52
4833,4833,52
5096,5096,52
4047,4047,52
2452,2452,52
2595,2595,52
4916,4916,52
3337,3337,52
3471,3471,52
3605,3605,52
3739,3739,52
3873,3873,52
4007,4007,52
4275,4275,52
4521,4521,52
5171,5171,52
5660,5660,52
6873,6873,52
6875,6875,52
3645,3645,52
3916,3916,52
2472,2472,52
5540,5540,52
6302,6302,51
4869,4869,51
