OID_,Join_Count,TARGET_FID,JOIN_FID,SOURCE_ID,grid_code,ZONE_ID,SOURCE_ID_1,grid_code_1,ZONE_ID_1
12322,1,255,382,255,29.9427738,1,382,5.7342982,5
12351,1,256,382,256,24.2084732,1,382,5.7342982,5
14274,1,291,382,291,35.7041206,1,382,5.7342982,5
14281,1,291,442,291,35.7041206,1,442,3.7327027,5
14310,1,292,382,292,27.5895462,1,382,5.7342982,5
14316,1,292,442,292,27.5895462,1,442,3.7327027,5
14317,1,292,443,292,27.5895462,1,443,0.0000000,5
14340,1,293,382,293,19.4749737,1,382,5.7342982,5
14345,1,293,442,293,19.4749737,1,442,3.7327027,5
14346,1,293,443,293,19.4749737,1,443,0.0000000,5
14347,1,293,444,293,19.4749737,1,444,0.0000000,5
14350,1,293,510,293,19.4749737,1,510,1.2442343,5
16244,1,327,382,327,35.7041206,1,382,5.7342982,5
16291,1,328,382,328,29.9427738,1,382,5.7342982,5
16298,1,328,442,328,29.9427738,1,442,3.7327027,5
16305,1,328,510,328,29.9427738,1,510,1.2442343,5
16333,1,329,382,329,24.2084732,1,382,5.7342982,5
16339,1,329,442,329,24.2084732,1,442,3.7327027,5
16340,1,329,443,329,24.2084732,1,443,0.0000000,5
16346,1,329,510,329,24.2084732,1,510,1.2442343,5
16347,1,329,511,329,24.2084732,1,511,0.0000000,5
16370,1,330,382,330,16.6078243,1,382,5.7342982,5
16375,1,330,442,330,16.6078243,1,442,3.7327027,5
16376,1,330,443,330,16.6078243,1,443,0.0000000,5
16377,1,330,444,330,16.6078243,1,444,0.0000000,5
16382,1,330,510,330,16.6078243,1,510,1.2442343,5
16383,1,330,511,330,16.6078243,1,511,0.0000000,5
16384,1,330,512,330,16.6078243,1,512,0.0000000,5
16387,1,330,578,330,16.6078243,1,578,0.0000000,5
16389,1,331,332,331,0.0000000,1,332,0.0000000,5
16390,1,331,333,331,0.0000000,1,333,4.9013844,5
16391,1,331,334,331,0.0000000,1,334,4.9013844,5
16392,1,331,335,331,0.0000000,1,335,4.9013844,5
16393,1,331,383,331,0.0000000,1,383,0.0000000,5
16394,1,331,384,331,0.0000000,1,384,4.9013844,5
16395,1,331,385,331,0.0000000,1,385,4.9013844,5
16396,1,331,386,331,0.0000000,1,386,4.9013844,5
