OID_,pointid,grid_code
3369,3369,100
2967,2967,99
7288,7288,98
120,120,96
3100,3100,96
3367,3367,95
3233,3233,94
2833,2833,94
3368,3368,94
3101,3101,93
7372,7372,92
3234,3234,92
2966,2966,92
2463,2463,92
7374,7374,92
2707,2707,91
2586,2586,91
2220,2220,91
7373,7373,90
2585,2585,90
2795,2795,90
7287,7287,89
3236,3236,89
4834,4834,89
7289,7289,89
3502,3502,89
3366,3366,89
7451,7451,89
3829,3829,88
3370,3370,88
2339,2339,88
7375,7375,88
2708,2708,88
2832,2832,88
7048,7048,88
2340,2340,88
3503,3503,87
3235,3235,87
2834,2834,87
4965,4965,87
4833,4833,86
2464,2464,86
7371,7371,86
2928,2928,86
2669,2669,85
7448,7448,85
7202,7202,85
2221,2221,84
6960,6960,84
3102,3102,84
3963,3963,84
7047,7047,83
3501,3501,83
119,119,83
152,152,83
5090,5090,83
2706,2706,83
2794,2794,82
5091,5091,81
7447,7447,80
5059,5059,80
7286,7286,80
2668,2668,80
7201,7201,79
7203,7203,79
7452,7452,79
2793,2793,79
6950,6950,79
7038,7038,79
7526,7526,79
4964,4964,79
7290,7290,79
2831,2831,79
7376,7376,79
3232,3232,79
3964,3964,78
2968,2968,78
7138,7138,78
89,89,78
151,151,78
153,153,78
3062,3062,78
90,90,77
121,121,77
7449,7449,77
4933,4933,77
7450,7450,77
2462,2462,77
3636,3636,76
2927,2927,76
4485,4485,76
6865,6865,76
7527,7527,76
5185,5185,76
3504,3504,75
3500,3500,75
3830,3830,75
6959,6959,75
5217,5217,75
2587,2587,75
2219,2219,75
7525,7525,75
3099,3099,75
6951,6951,75
7039,7039,75
7139,7139,75
4702,4702,74
3637,3637,74
3063,3063,74
3088,3088,74
3221,3221,73
3374,3374,73
2796,2796,73
3510,3510,73
7370,7370,73
3371,3371,73
2096,2096,73
2341,2341,73
2964,2964,72
2929,2929,72
3962,3962,72
7453,7453,72
2547,2547,72
7522,7522,72
4934,4934,72
3828,3828,72
4703,4703,72
2584,2584,72
5383,5383,72
184,184,72
2095,2095,72
2222,2222,71
5310,5310,71
5092,5092,71
2583,2583,71
2670,2670,71
6866,6866,71
4484,4484,71
3643,3643,71
4097,4097,71
3355,3355,71
3240,3240,70
7200,7200,70
5186,5186,70
6952,6952,70
7040,7040,70
4353,4353,70
6949,6949,70
7596,7596,70
7593,7593,70
7524,7524,70
4803,4803,70
118,118,70
2667,2667,70
4701,4701,70
4352,4352,70
7595,7595,70
2953,2953,69
3086,3086,69
4351,4351,69
7594,7594,69
2830,2830,69
3635,3635,69
6025,6025,69
5218,5218,69
2965,2965,69
7285,7285,68
3489,3489,68
3354,3354,68
2338,2338,68
7521,7521,68
2709,2709,68
3087,3087,68
3638,3638,68
4486,4486,68
2546,2546,68
3061,3061,67
3098,3098,67
4966,4966,67
4832,4832,67
5311,5311,67
7110,7110,67
2963,2963,67
5060,5060,67
2342,2342,67
3222,3222,67
3488,3488,67
5216,5216,67
150,150,67
2097,2097,67
3695,3695,67
5184,5184,66
3639,3639,66
183,183,66
4802,4802,66
2465,2465,66
3237,3237,66
4096,4096,66
4835,4835,66
7129,7129,66
4804,4804,66
7049,7049,66
7111,7111,66
7130,7130,66
3965,3965,66
7229,7229,66
3197,3197,66
767,767,66
5505,5505,65
88,88,65
185,185,65
4350,4350,65
2818,2818,65
4570,4570,65
3505,3505,65
3103,3103,65
2954,2954,65
3220,3220,65
2704,2704,65
3353,3353,65
2951,2951,65
3365,3365,65
4498,4498,65
2705,2705,65
401,401,64
7523,7523,64
2835,2835,64
2969,2969,64
2952,2952,64
6141,6141,64
7377,7377,64
5258,5258,64
5058,5058,64
3509,3509,64
3487,3487,64
3097,3097,64
7204,7204,63
7291,7291,63
6875,6875,63
4487,4487,63
5382,5382,63
5506,5506,63
6961,6961,63
5089,5089,63
4935,4935,62
4876,4876,62
5219,5219,62
3770,3770,62
7046,7046,62
3622,3622,62
466,466,62
4963,4963,62
3758,3758,62
3352,3352,62
3219,3219,62
3831,3831,62
6867,6867,62
7199,7199,62
7220,7220,62
7230,7230,62
5342,5342,62
6024,6024,61
2545,2545,61
4483,4483,61
2548,2548,61
3375,3375,61
3085,3085,61
3499,3499,61
5312,5312,61
7109,7109,61
3696,3696,61
700,700,61
3223,3223,61
6874,6874,61
2829,2829,61
3759,3759,61
3893,3893,61
7128,7128,61
2819,2819,60
2792,2792,60
3330,3330,60
3624,3624,60
4618,4618,60
7140,7140,60
534,534,60
1984,1984,60
2666,2666,60
3231,3231,60
5177,5177,60
3625,3625,60
3894,3894,60
4028,4028,60
4095,4095,60
2094,2094,60
5178,5178,60
7591,7591,60
4571,4571,60
3490,3490,60
3196,3196,60
182,182,60
6140,6140,60
2930,2930,59
3771,3771,59
2763,2763,59
3224,3224,59
5303,5303,59
4098,4098,59
7137,7137,59
4369,4369,59
5884,5884,59
3621,3621,59
4673,4673,59
7228,7228,59
7369,7369,59
2703,2703,59
2889,2889,59
2890,2890,59
3225,3225,59
3331,3331,59
3401,3401,59
3773,3773,59
4365,4365,59
7446,7446,59
5624,5624,59
2926,2926,59
2631,2631,59
2632,2632,59
2633,2633,59
3024,3024,59
3092,3092,59
3266,3266,59
3400,3400,59
4000,4000,59
5054,5054,59
5180,5180,59
2425,2425,59
3623,3623,59
2461,2461,59
6787,6787,59
2380,2380,59
2504,2504,59
2754,2754,59
3464,3464,59
3598,3598,59
3599,3599,59
3733,3733,59
3866,3866,59
4354,4354,59
4616,4616,59
7528,7528,59
2755,2755,59
467,467,58
5093,5093,58
3016,3016,58
3135,3135,58
7112,7112,58
4629,4629,58
6958,6958,58
3694,3694,58
834,834,58
7454,7454,58
2218,2218,58
2881,2881,58
2900,2900,58
2901,2901,58
3015,3015,58
3029,3029,58
3035,3035,58
3036,3036,58
3163,3163,58
3164,3164,58
3165,3165,58
3166,3166,58
3170,3170,58
3304,3304,58
3438,3438,58
3571,3571,58
3704,3704,58
3705,3705,58
3838,3838,58
3972,3972,58
3973,3973,58
4240,4240,58
4370,4370,58
4371,4371,58
4372,4372,58
4502,4502,58
4503,4503,58
4504,4504,58
4634,4634,58
4635,4635,58
4636,4636,58
4760,4760,58
4761,4761,58
4766,4766,58
4767,4767,58
4768,4768,58
4891,4891,58
4892,4892,58
4898,4898,58
5008,5008,58
5019,5019,58
5023,5023,58
5024,5024,58
5025,5025,58
5132,5132,58
5133,5133,58
5134,5134,58
5147,5147,58
5148,5148,58
5149,5149,58
5272,5272,58
5881,5881,58
5882,5882,58
5883,5883,58
5999,5999,58
217,217,58
4745,4745,58
5187,5187,58
1983,1983,58
3961,3961,58
602,602,58
5309,5309,58
4488,4488,58
6788,6788,58
3756,3756,58
4364,4364,58
7660,7660,58
5909,5909,58
4615,4615,57
4704,4704,57
966,966,57
6953,6953,57
4617,4617,57
7037,7037,57
4219,4219,57
535,535,57
632,632,57
5343,5343,57
4672,4672,57
7306,7306,57
3486,3486,57
5625,5625,57
7219,7219,57
2588,2588,57
117,117,57
4619,4619,57
5504,5504,57
7131,7131,57
7221,7221,57
3064,3064,57
3772,3772,57
3757,3757,56
3089,3089,56
4218,4218,56
7659,7659,56
4497,4497,56
7445,7445,56
3755,3755,56
7284,7284,56
402,402,56
2320,2320,56
3498,3498,56
900,900,56
7590,7590,55
7661,7661,55
2319,2319,55
603,603,55
5908,5908,55
5434,5434,55
3827,3827,55
4572,4572,55
218,218,55
2424,2424,55
2426,2426,55
4932,4932,55
3096,3096,55
465,465,55
7658,7658,55
1982,1982,55
2460,2460,55
2820,2820,55
4220,4220,55
5257,5257,54
6864,6864,54
4744,4744,54
149,149,54
5215,5215,54
7592,7592,54
2098,2098,54
3769,3769,54
3634,3634,54
3640,3640,54
4232,4232,54
2466,2466,54
5061,5061,54
4967,4967,54
7520,7520,53
216,216,53
4231,4231,53
3372,3372,53
3506,3506,53
4671,4671,53
4235,4235,53
5769,5769,53
6876,6876,53
533,533,53
3620,3620,53
3966,3966,53
7305,7305,53
7315,7315,53
2582,2582,53
186,186,53
4217,4217,53
87,87,53
4349,4349,53
4620,4620,53
7307,7307,53
400,400,53
3195,3195,53
4614,4614,53
2671,2671,53
5381,5381,53
5626,5626,53
5433,5433,53
7657,7657,53
2549,2549,53
3892,3892,52
3218,3218,52
3356,3356,52
2797,2797,52
2198,2198,52
2950,2950,52
2817,2817,52
670,670,52
4439,4439,52
2223,2223,52
4801,4801,52
3905,3905,52
768,768,52
4366,4366,52
5344,5344,52
4875,4875,52
7108,7108,52
3644,3644,52
564,564,52
2544,2544,52
2627,2627,51
4027,4027,51
2692,2692,51
7041,7041,51
2962,2962,51
3364,3364,51
3060,3060,51
4099,4099,51
4230,4230,51
7519,7519,51
6142,6142,51
2955,2955,51
4368,4368,51
4628,4628,51
4236,4236,51
5384,5384,51
5768,5768,51
5885,5885,51
7707,7707,51
3230,3230,50
5341,5341,50
1100,1100,50
7597,7597,50
5302,5302,50
2442,2442,50
2764,2764,50
3760,3760,50
2073,2073,50
2074,2074,50
4700,4700,50
5220,5220,50
3091,3091,50
3226,3226,50
3267,3267,50
3491,3491,50
7706,7706,50
3376,3376,50
7198,7198,50
3023,3023,50
633,633,50
2441,2441,50
3890,3890,50
4355,4355,50
536,536,50
