OID_,Join_Count,TARGET_FID,JOIN_FID,SOURCE_ID,grid_code,ZONE_ID,SOURCE_ID_1,grid_code_1,ZONE_ID_1
4783,1,112,243,112,43.2818375,6,243,43.9804916,1
4819,1,113,243,113,42.3502998,6,243,43.9804916,1
6399,1,144,243,144,43.2818375,6,243,43.9804916,1
6403,1,144,279,144,43.2818375,6,279,44.4462624,1
6404,1,144,280,144,43.2818375,6,280,43.7476082,1
6437,1,145,243,145,42.1174126,6,243,43.9804916,1
6442,1,145,279,145,42.1174126,6,279,44.4462624,1
6443,1,145,280,145,42.1174126,6,280,43.7476082,1
6444,1,145,281,145,42.1174126,6,281,42.8160667,1
6484,1,146,243,146,41.6516418,6,243,43.9804916,1
6490,1,146,280,146,41.6516418,6,280,43.7476082,1
6491,1,146,281,146,41.6516418,6,281,42.8160667,1
6538,1,147,243,147,40.7201042,6,243,43.9804916,1
6545,1,147,281,147,40.7201042,6,281,42.8160667,1
8080,1,176,243,176,42.8160667,6,243,43.9804916,1
8084,1,176,279,176,42.8160667,6,279,44.4462624,1
8085,1,176,280,176,42.8160667,6,280,43.7476082,1
8086,1,176,281,176,42.8160667,6,281,42.8160667,1
8088,1,176,316,176,42.8160667,6,316,44.4462624,1
8089,1,176,317,176,42.8160667,6,317,44.2133789,1
8119,1,177,243,177,42.1174126,6,243,43.9804916,1
8124,1,177,279,177,42.1174126,6,279,44.4462624,1
8125,1,177,280,177,42.1174126,6,280,43.7476082,1
8126,1,177,281,177,42.1174126,6,281,42.8160667,1
8129,1,177,316,177,42.1174126,6,316,44.4462624,1
8130,1,177,317,177,42.1174126,6,317,44.2133789,1
8131,1,177,318,177,42.1174126,6,318,43.7476082,1
8167,1,178,243,178,41.1858749,6,243,43.9804916,1
8173,1,178,279,178,41.1858749,6,279,44.4462624,1
8174,1,178,280,178,41.1858749,6,280,43.7476082,1
8175,1,178,281,178,41.1858749,6,281,42.8160667,1
8179,1,178,317,178,41.1858749,6,317,44.2133789,1
8180,1,178,318,178,41.1858749,6,318,43.7476082,1
8181,1,178,319,178,41.1858749,6,319,42.8160667,1
8223,1,179,243,179,40.2543335,6,243,43.9804916,1
8230,1,179,279,179,40.2543335,6,279,44.4462624,1
8231,1,179,280,179,40.2543335,6,280,43.7476082,1
8232,1,179,281,179,40.2543335,6,281,42.8160667,1
8237,1,179,318,179,40.2543335,6,318,43.7476082,1
8238,1,179,319,179,40.2543335,6,319,42.8160667,1
8291,1,180,280,180,39.5556793,6,280,43.7476082,1
8292,1,180,281,180,39.5556793,6,281,42.8160667,1
8298,1,180,319,180,39.5556793,6,319,42.8160667,1
8351,1,181,281,181,47.8890076,6,281,42.8160667,1
9840,1,209,243,209,43.2818375,6,243,43.9804916,1
9845,1,209,279,209,43.2818375,6,279,44.4462624,1
9846,1,209,280,209,43.2818375,6,280,43.7476082,1
9847,1,209,281,209,43.2818375,6,281,42.8160667,1
9849,1,209,316,209,43.2818375,6,316,44.4462624,1
9850,1,209,317,209,43.2818375,6,317,44.2133789,1
9851,1,209,318,209,43.2818375,6,318,43.7476082,1
9852,1,209,319,209,43.2818375,6,319,42.8160667,1
9853,1,209,367,209,43.2818375,6,367,45.1449165,1
9854,1,209,368,209,43.2818375,6,368,45.3778000,1
9880,1,210,243,210,42.8160667,6,243,43.9804916,1
9886,1,210,279,210,42.8160667,6,279,44.4462624,1
9887,1,210,280,210,42.8160667,6,280,43.7476082,1
9888,1,210,281,210,42.8160667,6,281,42.8160667,1
9891,1,210,316,210,42.8160667,6,316,44.4462624,1
9892,1,210,317,210,42.8160667,6,317,44.2133789,1
9893,1,210,318,210,42.8160667,6,318,43.7476082,1
9894,1,210,319,210,42.8160667,6,319,42.8160667,1
9896,1,210,367,210,42.8160667,6,367,45.1449165,1
9897,1,210,368,210,42.8160667,6,368,45.3778000,1
9898,1,210,369,210,42.8160667,6,369,45.1449165,1
9928,1,211,243,211,41.1858749,6,243,43.9804916,1
9935,1,211,279,211,41.1858749,6,279,44.4462624,1
9936,1,211,280,211,41.1858749,6,280,43.7476082,1
9937,1,211,281,211,41.1858749,6,281,42.8160667,1
9941,1,211,316,211,41.1858749,6,316,44.4462624,1
9942,1,211,317,211,41.1858749,6,317,44.2133789,1
9943,1,211,318,211,41.1858749,6,318,43.7476082,1
9944,1,211,319,211,41.1858749,6,319,42.8160667,1
9947,1,211,368,211,41.1858749,6,368,45.3778000,1
9948,1,211,369,211,41.1858749,6,369,45.1449165,1
9949,1,211,370,211,41.1858749,6,370,44.4462624,1
9983,1,212,243,212,40.2543335,6,243,43.9804916,1
9991,1,212,279,212,40.2543335,6,279,44.4462624,1
9992,1,212,280,212,40.2543335,6,280,43.7476082,1
9993,1,212,281,212,40.2543335,6,281,42.8160667,1
9998,1,212,316,212,40.2543335,6,316,44.4462624,1
9999,1,212,317,212,40.2543335,6,317,44.2133789,1
10000,1,212,318,212,40.2543335,6,318,43.7476082,1
10001,1,212,319,212,40.2543335,6,319,42.8160667,1
10005,1,212,369,212,40.2543335,6,369,45.1449165,1
10006,1,212,370,212,40.2543335,6,370,44.4462624,1
10007,1,212,371,212,40.2543335,6,371,43.2818375,1
10043,1,213,243,213,39.0899048,6,243,43.9804916,1
10052,1,213,280,213,39.0899048,6,280,43.7476082,1
10053,1,213,281,213,39.0899048,6,281,42.8160667,1
10059,1,213,317,213,39.0899048,6,317,44.2133789,1
