OID_,Join_Count,TARGET_FID,JOIN_FID,SOURCE_ID,grid_code,ZONE_ID,SOURCE_ID_1,grid_code_1,ZONE_ID_1
6,1,1,15,1,0.5074397,8,15,0.1383927,5
7,1,1,16,1,0.5074397,8,16,0.1383927,5
8,1,1,17,1,0.5074397,8,17,0.1383927,5
9,1,1,18,1,0.5074397,8,18,0.1383927,5
15,1,1,41,1,0.5074397,8,41,0.0922618,5
16,1,1,42,1,0.5074397,8,42,0.1383927,5
17,1,1,43,1,0.5074397,8,43,0.4613089,5
22,1,1,66,1,0.5074397,8,66,0.0922618,5
23,1,1,67,1,0.5074397,8,67,0.0922618,5
24,1,1,68,1,0.5074397,8,68,0.4151780,5
29,1,1,98,1,0.5074397,8,98,0.3229162,5
38,1,2,16,2,0.5074397,8,16,0.1383927,5
39,1,2,17,2,0.5074397,8,17,0.1383927,5
40,1,2,18,2,0.5074397,8,18,0.1383927,5
47,1,2,42,2,0.5074397,8,42,0.1383927,5
48,1,2,43,2,0.5074397,8,43,0.4613089,5
54,1,2,67,2,0.5074397,8,67,0.0922618,5
55,1,2,68,2,0.5074397,8,68,0.4151780,5
71,1,3,17,3,0.5074397,8,17,0.1383927,5
72,1,3,18,3,0.5074397,8,18,0.1383927,5
80,1,3,43,3,0.5074397,8,43,0.4613089,5
87,1,3,68,3,0.5074397,8,68,0.4151780,5
105,1,4,18,4,0.4613089,8,18,0.1383927,5
443,1,15,1,15,0.1383927,5,1,0.5074397,8
449,1,15,19,15,0.1383927,5,19,0.5074397,8
458,1,15,44,15,0.1383927,5,44,0.5074397,8
476,1,16,1,16,0.1383927,5,1,0.5074397,8
477,1,16,2,16,0.1383927,5,2,0.5074397,8
483,1,16,19,16,0.1383927,5,19,0.5074397,8
484,1,16,20,16,0.1383927,5,20,0.5074397,8
492,1,16,44,16,0.1383927,5,44,0.5074397,8
493,1,16,45,16,0.1383927,5,45,0.5074397,8
500,1,16,69,16,0.1383927,5,69,0.4613089,8
507,1,16,99,16,0.1383927,5,99,0.4151780,8
511,1,17,1,17,0.1383927,5,1,0.5074397,8
512,1,17,2,17,0.1383927,5,2,0.5074397,8
513,1,17,3,17,0.1383927,5,3,0.5074397,8
519,1,17,19,17,0.1383927,5,19,0.5074397,8
520,1,17,20,17,0.1383927,5,20,0.5074397,8
521,1,17,21,17,0.1383927,5,21,0.5074397,8
528,1,17,44,17,0.1383927,5,44,0.5074397,8
529,1,17,45,17,0.1383927,5,45,0.5074397,8
530,1,17,46,17,0.1383927,5,46,1.1464252,8
536,1,17,69,17,0.1383927,5,69,0.4613089,8
537,1,17,70,17,0.1383927,5,70,2.2860034,8
543,1,17,99,17,0.1383927,5,99,0.4151780,8
544,1,17,100,17,0.1383927,5,100,8.1262512,8
547,1,17,130,17,0.1383927,5,130,0.2306544,8
548,1,18,1,18,0.1383927,5,1,0.5074397,8
549,1,18,2,18,0.1383927,5,2,0.5074397,8
550,1,18,3,18,0.1383927,5,3,0.5074397,8
551,1,18,4,18,0.1383927,5,4,0.4613089,8
557,1,18,19,18,0.1383927,5,19,0.5074397,8
558,1,18,20,18,0.1383927,5,20,0.5074397,8
559,1,18,21,18,0.1383927,5,21,0.5074397,8
560,1,18,22,18,0.1383927,5,22,1.1002942,8
566,1,18,44,18,0.1383927,5,44,0.5074397,8
567,1,18,45,18,0.1383927,5,45,0.5074397,8
568,1,18,46,18,0.1383927,5,46,1.1464252,8
569,1,18,47,18,0.1383927,5,47,3.8967445,8
574,1,18,69,18,0.1383927,5,69,0.4613089,8
575,1,18,70,18,0.1383927,5,70,2.2860034,8
576,1,18,71,18,0.1383927,5,71,2.7566831,8
581,1,18,99,18,0.1383927,5,99,0.4151780,8
582,1,18,100,18,0.1383927,5,100,8.1262512,8
583,1,18,101,18,0.1383927,5,101,18.5741882,8
585,1,18,130,18,0.1383927,5,130,0.2306544,8
586,1,18,131,18,0.1383927,5,131,2.2398727,8
592,1,19,15,19,0.5074397,8,15,0.1383927,5
593,1,19,16,19,0.5074397,8,16,0.1383927,5
594,1,19,17,19,0.5074397,8,17,0.1383927,5
595,1,19,18,19,0.5074397,8,18,0.1383927,5
601,1,19,40,19,0.5074397,8,40,0.0922618,5
602,1,19,41,19,0.5074397,8,41,0.0922618,5
603,1,19,42,19,0.5074397,8,42,0.1383927,5
604,1,19,43,19,0.5074397,8,43,0.4613089,5
610,1,19,66,19,0.5074397,8,66,0.0922618,5
611,1,19,67,19,0.5074397,8,67,0.0922618,5
612,1,19,68,19,0.5074397,8,68,0.4151780,5
617,1,19,96,19,0.5074397,8,96,1.2916647,5
618,1,19,97,19,0.5074397,8,97,0.2767853,5
619,1,19,98,19,0.5074397,8,98,0.3229162,5
633,1,20,16,20,0.5074397,8,16,0.1383927,5
634,1,20,17,20,0.5074397,8,17,0.1383927,5
635,1,20,18,20,0.5074397,8,18,0.1383927,5
642,1,20,41,20,0.5074397,8,41,0.0922618,5
643,1,20,42,20,0.5074397,8,42,0.1383927,5
644,1,20,43,20,0.5074397,8,43,0.4613089,5
651,1,20,67,20,0.5074397,8,67,0.0922618,5
652,1,20,68,20,0.5074397,8,68,0.4151780,5
658,1,20,97,20,0.5074397,8,97,0.2767853,5
659,1,20,98,20,0.5074397,8,98,0.3229162,5
675,1,21,17,21,0.5074397,8,17,0.1383927,5
676,1,21,18,21,0.5074397,8,18,0.1383927,5
684,1,21,42,21,0.5074397,8,42,0.1383927,5
685,1,21,43,21,0.5074397,8,43,0.4613089,5
693,1,21,68,21,0.5074397,8,68,0.4151780,5
700,1,21,98,21,0.5074397,8,98,0.3229162,5
718,1,22,18,22,1.1002942,8,18,0.1383927,5
727,1,22,43,22,1.1002942,8,43,0.4613089,5
1334,1,40,19,40,0.0922618,5,19,0.5074397,8
1343,1,40,44,40,0.0922618,5,44,0.5074397,8
1352,1,40,69,40,0.0922618,5,69,0.4613089,8
1366,1,40,130,40,0.0922618,5,130,0.2306544,8
1370,1,41,1,41,0.0922618,5,1,0.5074397,8
1376,1,41,19,41,0.0922618,5,19,0.5074397,8
1377,1,41,20,41,0.0922618,5,20,0.5074397,8
1385,1,41,44,41,0.0922618,5,44,0.5074397,8
1386,1,41,45,41,0.0922618,5,45,0.5074397,8
1394,1,41,69,41,0.0922618,5,69,0.4613089,8
1395,1,41,70,41,0.0922618,5,70,2.2860034,8
1402,1,41,99,41,0.0922618,5,99,0.4151780,8
1408,1,41,130,41,0.0922618,5,130,0.2306544,8
1409,1,41,131,41,0.0922618,5,131,2.2398727,8
1413,1,42,1,42,0.1383927,5,1,0.5074397,8
1414,1,42,2,42,0.1383927,5,2,0.5074397,8
1420,1,42,19,42,0.1383927,5,19,0.5074397,8
1421,1,42,20,42,0.1383927,5,20,0.5074397,8
1422,1,42,21,42,0.1383927,5,21,0.5074397,8
1429,1,42,44,42,0.1383927,5,44,0.5074397,8
1430,1,42,45,42,0.1383927,5,45,0.5074397,8
1431,1,42,46,42,0.1383927,5,46,1.1464252,8
1438,1,42,69,42,0.1383927,5,69,0.4613089,8
1439,1,42,70,42,0.1383927,5,70,2.2860034,8
1440,1,42,71,42,0.1383927,5,71,2.7566831,8
1446,1,42,99,42,0.1383927,5,99,0.4151780,8
1447,1,42,100,42,0.1383927,5,100,8.1262512,8
1452,1,42,130,42,0.1383927,5,130,0.2306544,8
1453,1,42,131,42,0.1383927,5,131,2.2398727,8
1454,1,42,132,42,0.1383927,5,132,13.1505594,8
1457,1,42,162,42,0.1383927,5,162,0.6919633,8
1458,1,43,1,43,0.4613089,5,1,0.5074397,8
1459,1,43,2,43,0.4613089,5,2,0.5074397,8
1460,1,43,3,43,0.4613089,5,3,0.5074397,8
1466,1,43,19,43,0.4613089,5,19,0.5074397,8
1467,1,43,20,43,0.4613089,5,20,0.5074397,8
1468,1,43,21,43,0.4613089,5,21,0.5074397,8
1469,1,43,22,43,0.4613089,5,22,1.1002942,8
1475,1,43,44,43,0.4613089,5,44,0.5074397,8
1476,1,43,45,43,0.4613089,5,45,0.5074397,8
1477,1,43,46,43,0.4613089,5,46,1.1464252,8
1478,1,43,47,43,0.4613089,5,47,3.8967445,8
1484,1,43,69,43,0.4613089,5,69,0.4613089,8
