OID_,POINTID,GRID_CODE
3626,3626,100
3492,3492,95
3625,3625,90
3491,3491,77
2963,2963,75
2964,2964,75
2829,2829,74
3367,3367,74
2830,2830,73
3233,3233,73
3092,3092,72
3624,3624,72
3493,3493,72
3224,3224,71
3627,3627,71
3223,3223,71
3225,3225,70
3366,3366,70
2966,2966,70
3093,3093,70
3232,3232,70
3222,3222,69
3500,3500,69
3098,3098,69
3759,3759,69
2832,2832,69
3501,3501,69
4028,4028,68
3768,3768,68
3760,3760,68
2706,2706,68
3767,3767,68
2962,2962,68
1196,1196,67
1270,1270,67
1348,1348,67
3088,3088,67
3490,3490,67
2828,2828,67
3634,3634,67
3358,3358,66
3099,3099,66
5132,5132,66
5008,5008,66
3304,3304,65
3829,3829,65
3838,3838,65
3973,3973,65
4240,4240,65
4834,4834,65
4965,4965,65
2763,2763,65
2380,2380,65
4000,4000,65
7372,7372,65
7527,7527,65
7596,7596,65
2965,2965,65
3091,3091,65
2831,2831,65
3096,3096,65
3100,3100,64
3894,3894,64
3227,3227,64
1123,1123,64
3097,3097,64
3365,3365,64
3089,3089,63
3499,3499,63
3359,3359,63
3635,3635,62
3357,3357,62
3758,3758,62
3090,3090,62
2462,2462,62
3234,3234,62
2584,2584,62
2834,2834,61
2967,2967,61
3221,3221,61
3226,3226,61
2957,2957,61
2463,2463,61
2339,2339,61
3235,3235,61
2833,2833,61
3236,3236,61
2338,2338,61
2958,2958,61
4029,4029,61
3355,3355,61
3369,3369,61
5133,5133,60
2764,2764,60
7287,7287,60
7595,7595,60
2583,2583,60
6960,6960,60
3360,3360,60
3356,3356,60
3704,3704,60
3972,3972,60
2707,2707,60
1195,1195,60
2954,2954,60
1124,1124,60
1197,1197,60
1269,1269,60
1271,1271,60
1347,1347,60
1349,1349,60
2961,2961,59
5053,5053,59
3230,3230,59
3370,3370,59
3504,3504,59
2827,2827,59
5007,5007,59
5131,5131,59
5054,5054,59
3761,3761,59
5009,5009,59
4001,4001,59
6875,6875,59
3303,3303,59
4964,4964,59
6961,6961,59
3489,3489,58
3001,3001,58
3269,3269,58
3999,3999,58
4133,4133,58
3703,3703,58
3830,3830,58
3837,3837,58
3839,3839,58
4106,4106,58
4107,4107,58
2762,2762,58
3828,3828,58
4835,4835,58
121,121,58
2379,2379,58
2381,2381,58
3305,3305,58
5998,5998,58
7448,7448,58
7528,7528,58
7597,7597,58
5134,5134,58
5258,5258,58
3505,3505,58
4876,4876,58
3638,3638,58
3705,3705,58
3507,3507,58
3893,3893,58
7373,7373,58
2889,2889,58
3438,3438,58
2218,2218,58
3170,3170,58
3866,3866,58
3094,3094,58
2900,2900,58
2901,2901,58
5882,5882,58
120,120,58
2504,2504,58
2890,2890,58
7288,7288,58
3368,3368,58
1054,1054,57
3101,3101,57
2708,2708,57
2709,2709,57
3231,3231,57
2461,2461,57
2955,2955,57
3095,3095,57
3895,3895,57
3633,3633,56
2219,2219,56
3228,3228,56
2705,2705,56
5425,5425,56
2968,2968,56
3364,3364,56
2835,2835,56
5301,5301,56
6874,6874,55
3105,3105,55
2959,2959,55
2093,2093,55
3840,3840,55
153,153,55
7286,7286,55
7454,7454,55
7594,7594,55
7662,7662,55
3639,3639,55
5302,5302,55
3502,3502,55
2960,2960,55
5180,5180,55
3623,3623,55
5177,5177,55
5178,5178,55
4239,4239,55
3372,3372,55
5303,5303,55
7048,7048,55
2220,2220,55
5881,5881,54
4372,4372,54
3373,3373,54
3506,3506,54
5999,5999,54
7526,7526,54
2969,2969,54
2956,2956,54
4027,4027,54
1122,1122,54
3229,3229,54
3498,3498,54
5052,5052,54
3102,3102,53
5006,5006,53
3371,3371,53
3237,3237,53
2587,2587,53
7049,7049,53
7449,7449,53
7453,7453,53
4833,4833,53
1055,1055,53
1194,1194,53
3971,3971,53
3974,3974,53
7371,7371,53
7661,7661,53
3437,3437,53
3867,3867,53
3169,3169,53
4373,4373,53
3503,3503,53
2902,2902,53
2094,2094,52
4002,4002,52
3494,3494,52
3762,3762,52
3103,3103,52
3637,3637,52
7523,7523,52
3896,3896,52
3238,3238,52
4926,4926,52
2820,2820,52
4925,4925,52
1268,1268,52
1056,1056,52
1125,1125,52
1198,1198,52
1272,1272,52
1346,1346,52
1350,1350,52
5057,5057,52
3361,3361,52
5130,5130,52
3087,3087,52
4931,4931,52
4963,4963,52
