OID_,Join_Count,TARGET_FID,JOIN_FID,SOURCE_ID,grid_code,ZONE_ID,SOURCE_ID_1,grid_code_1,ZONE_ID_1
2134,1,57,144,57,0.0000000,3,144,0.0000000,4
2140,1,57,177,57,0.0000000,3,177,0.0000000,4
2166,1,58,144,58,0.0000000,3,144,0.0000000,4
3308,1,82,144,82,0.0000000,3,144,0.0000000,4
3312,1,82,176,82,0.0000000,3,176,0.0000000,4
3313,1,82,177,82,0.0000000,3,177,0.0000000,4
3316,1,82,209,82,0.0000000,3,209,0.0000000,4
3317,1,82,210,82,0.0000000,3,210,0.0000000,4
3337,1,83,144,83,0.0000000,3,144,0.0000000,4
3342,1,83,176,83,0.0000000,3,176,0.0000000,4
3343,1,83,177,83,0.0000000,3,177,0.0000000,4
3347,1,83,209,83,0.0000000,3,209,0.0000000,4
3348,1,83,210,83,0.0000000,3,210,0.0000000,4
3372,1,84,144,84,0.0000000,3,144,0.0000000,4
3378,1,84,176,84,0.0000000,3,176,0.0000000,4
3379,1,84,177,84,0.0000000,3,177,0.0000000,4
3384,1,84,210,84,0.0000000,3,210,0.0000000,4
3411,1,85,144,85,0.0000000,3,144,0.0000000,4
3418,1,85,176,85,0.0000000,3,176,0.0000000,4
3419,1,85,177,85,0.0000000,3,177,0.0000000,4
3461,1,86,177,86,0.9204618,3,177,0.0000000,4
4770,1,112,144,112,0.0000000,3,144,0.0000000,4
4775,1,112,176,112,0.0000000,3,176,0.0000000,4
4776,1,112,177,112,0.0000000,3,177,0.0000000,4
4779,1,112,209,112,0.0000000,3,209,0.0000000,4
4780,1,112,210,112,0.0000000,3,210,0.0000000,4
4783,1,112,243,112,0.0000000,3,243,0.0000000,4
4784,1,112,244,112,0.0000000,3,244,0.0000000,4
4803,1,113,144,113,0.0000000,3,144,0.0000000,4
4809,1,113,176,113,0.0000000,3,176,0.0000000,4
4810,1,113,177,113,0.0000000,3,177,0.0000000,4
4814,1,113,209,113,0.0000000,3,209,0.0000000,4
4815,1,113,210,113,0.0000000,3,210,0.0000000,4
4819,1,113,243,113,0.0000000,3,243,0.0000000,4
4820,1,113,244,113,0.0000000,3,244,0.0000000,4
4844,1,114,144,114,0.0000000,3,144,0.0000000,4
4851,1,114,176,114,0.0000000,3,176,0.0000000,4
4852,1,114,177,114,0.0000000,3,177,0.0000000,4
4857,1,114,209,114,0.0000000,3,209,0.0000000,4
4858,1,114,210,114,0.0000000,3,210,0.0000000,4
4863,1,114,244,114,0.0000000,3,244,0.0000000,4
4890,1,115,144,115,0.0000000,3,144,0.0000000,4
4898,1,115,176,115,0.0000000,3,176,0.0000000,4
4899,1,115,177,115,0.0000000,3,177,0.0000000,4
4905,1,115,209,115,0.0000000,3,209,0.0000000,4
4906,1,115,210,115,0.0000000,3,210,0.0000000,4
4941,1,116,144,116,2.8321905,3,144,0.0000000,4
4950,1,116,177,116,2.8321905,3,177,0.0000000,4
4957,1,116,210,116,2.8321905,3,210,0.0000000,4
6374,1,144,57,144,0.0000000,4,57,0.0000000,3
6375,1,144,58,144,0.0000000,4,58,0.0000000,3
6376,1,144,82,144,0.0000000,4,82,0.0000000,3
6377,1,144,83,144,0.0000000,4,83,0.0000000,3
6378,1,144,84,144,0.0000000,4,84,0.0000000,3
6379,1,144,85,144,0.0000000,4,85,0.0000000,3
6380,1,144,112,144,0.0000000,4,112,0.0000000,3
6381,1,144,113,144,0.0000000,4,113,0.0000000,3
6382,1,144,114,144,0.0000000,4,114,0.0000000,3
6383,1,144,115,144,0.0000000,4,115,0.0000000,3
6384,1,144,116,144,0.0000000,4,116,2.8321905,3
6386,1,144,145,144,0.0000000,4,145,0.0000000,3
6387,1,144,146,144,0.0000000,4,146,0.0000000,3
6388,1,144,147,144,0.0000000,4,147,0.0000000,3
6389,1,144,148,144,0.0000000,4,148,0.9204618,3
6392,1,144,178,144,0.0000000,4,178,0.0000000,3
6393,1,144,179,144,0.0000000,4,179,0.0000000,3
6394,1,144,180,144,0.0000000,4,180,0.0000000,3
6397,1,144,211,144,0.0000000,4,211,0.0000000,3
6398,1,144,212,144,0.0000000,4,212,0.0000000,3
